state,location,version,id
California,Whittier,8,0
Texas,Conroe,9,1
New York,Tonawanda,7,2
California,Whittier,8,3
California,Whittier,9,4
Washington DC,Washington DC,9,5
California,Napa,6,6
New York,Tonawanda,7,7
California,San Francisco,9,8
New York,Lawrence,6,9
Virginia,Purcellville,8,10
Virginia,Purcellville,9,11
California,Diamond Bar,8,12
California,Capitola,7,13
Oklahoma,Moore,9,14
Arizona,Phoenix,9,15
Minnesota,Vadnais Heights,7,16
Oklahoma,Edmond,6,17
Arizona,Phoenix,9,18
